geolocation_zip_code,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1213,-23.535306,-46.639024,Sao Paulo,SP
1214,-23.538425,-46.645038,Sao Paulo,SP
1215,-23.536550,-46.649225,Sao Paulo,SP
1216,-23.535973,-46.651407,Sao Paulo,SP
1217,-23.533845,-46.649407,Sao Paulo,SP
1218,-23.529318,-46.647336,Sao Paulo,SP
1219,-23.541781,-46.647512,Sao Paulo,SP
1220,-23.543629,-46.646580,Sao Paulo,SP
1221,-23.546807,-46.648023,Sao Paulo,SP
1222,-23.545433,-46.645991,Sao Paulo,SP
1223,-23.543770,-46.648543,Sao Paulo,SP
1224,-23.542689,-46.654911,Sao Paulo,SP
1225,-23.538961,-46.651205,Sao Paulo,SP
1226,-23.536486,-46.652418,Sao Paulo,SP
1227,-23.553693,-46.662233,Sao Paulo,SP
1228,-23.544672,-46.657137,Sao Paulo,SP
1229,-23.540801,-46.658044,Sao Paulo,SP
1230,-23.540928,-46.658503,Sao Paulo,SP
1231,-23.537871,-46.660061,Sao Paulo,SP
1232,-23.536874,-46.654897,Sao Paulo,SP
1233,-23.532868,-46.660336,Sao Paulo,SP
1234,-23.539849,-46.664566,Sao Paulo,SP
1235,-23.537837,-46.666314,Sao Paulo,SP
1236,-23.541874,-46.667239,Sao Paulo,SP
1237,-23.543233,-46.668356,Sao Paulo,SP
1238,-23.543397,-46.657154,Sao Paulo,SP
1239,-23.546782,-46.656500,Sao Paulo,SP
1240,-23.542530,-46.661989,Sao Paulo,SP
1241,-23.544969,-46.658521,Sao Paulo,SP
1242,-23.546786,-46.657496,Sao Paulo,SP
1243,-23.547034,-46.660052,Sao Paulo,SP
1244,-23.696480,-46.635204,Sao Paulo,SP
1245,-23.548698,-46.664262,Sao Paulo,SP
1246,-23.555026,-46.668882,Sao Paulo,SP
1247,-23.551342,-46.669377,Sao Paulo,SP
1248,-23.548174,-46.668732,Sao Paulo,SP
1249,-23.549706,-46.671676,Sao Paulo,SP
1250,-23.548387,-46.671469,Sao Paulo,SP
1251,-23.547806,-46.673775,Sao Paulo,SP
1252,-23.540770,-46.680370,Sao Paulo,SP
1253,-23.543144,-46.680568,Sao Paulo,SP
1254,-23.544545,-46.681823,Sao Paulo,SP
1255,-23.552379,-46.675253,Sao Paulo,SP
1256,-23.548154,-46.682164,Sao Paulo,SP
1257,-23.542827,-46.687666,Sao Paulo,SP
1258,-23.545857,-46.688870,Sao Paulo,SP
1259,-23.539237,-46.688468,Sao Paulo,SP
1262,-23.550856,-46.677352,Sao Paulo,SP
1290,-23.540961,-46.657749,Sao Paulo,SP
1301,-23.548258,-46.649825,Sao Paulo,SP
1302,-23.547651,-46.643577,Sao Paulo,SP
1303,-23.548771,-46.647443,Sao Paulo,SP
1304,-23.551155,-46.649921,Sao Paulo,SP
1305,-23.550699,-46.648334,Sao Paulo,SP
1306,-23.553823,-46.650381,Sao Paulo,SP
1307,-23.555220,-46.655866,Sao Paulo,SP
1308,-23.556613,-46.653640,Sao Paulo,SP
1309,-23.557665,-46.658111,Sao Paulo,SP
1310,-23.560411,-46.657501,Sao Paulo,SP
1311,-23.560566,-46.657610,Sao Paulo,SP
1312,-23.551508,-46.646653,Sao Paulo,SP
1313,-23.556628,-46.650387,Sao Paulo,SP
1314,-23.550271,-46.641530,Sao Paulo,SP
1315,-23.553462,-46.640712,Sao Paulo,SP
1316,-23.552198,-46.639703,Sao Paulo,SP
1317,-23.555772,-46.639553,Sao Paulo,SP
1318,-23.555772,-46.639553,Sao Paulo,SP
1319,-23.553101,-46.642181,Sao Paulo,SP
1320,-23.558843,-46.639744,Sao Paulo,SP
1321,-23.566298,-46.642953,Sao Paulo,SP
1322,-23.564632,-46.643702,Sao Paulo,SP
1323,-23.563601,-46.640969,Sao Paulo,SP
1324,-23.557812,-46.642710,Sao Paulo,SP
1325,-23.556741,-46.644471,Sao Paulo,SP
1326,-23.559660,-46.645214,Sao Paulo,SP
1327,-23.566695,-46.644640,Sao Paulo,SP
1328,-23.555429,-46.645338,Sao Paulo,SP
1329,-23.562300,-46.646780,Sao Paulo,SP
1330,-23.557291,-46.649761,Sao Paulo,SP
1331,-23.559575,-46.650649,Sao Paulo,SP
1332,-23.560307,-46.656310,Sao Paulo,SP
1333,-23.563039,-46.652385,Sao Paulo,SP
1401,-23.583647,-46.669365,Sao Paulo,SP
1402,-23.578657,-46.660827,Sao Paulo,SP
1403,-23.568647,-46.653259,Sao Paulo,SP
1404,-23.573011,-46.660087,Sao Paulo,SP
1405,-23.564507,-46.654499,Sao Paulo,SP
1406,-23.576958,-46.673008,Sao Paulo,SP
1407,-23.575229,-46.668646,Sao Paulo,SP
1408,-23.566595,-46.660501,Sao Paulo,SP
1409,-23.560231,-46.656470,Sao Paulo,SP
1410,-23.566315,-46.664442,Sao Paulo,SP
1411,-23.565461,-46.665932,Sao Paulo,SP
1412,-23.558752,-46.660923,Sao Paulo,SP
1413,-23.561275,-46.663484,Sao Paulo,SP
1414,-23.565217,-46.669271,Sao Paulo,SP
1415,-23.554417,-46.659552,Sao Paulo,SP
1416,-23.561563,-46.669083,Sao Paulo,SP
1417,-23.488510,-46.714606,Sao Paulo,SP
1418,-23.563122,-46.656567,Sao Paulo,SP
1419,-23.567558,-46.651249,Sao Paulo,SP
1420,-23.559582,-46.662489,Sao Paulo,SP
1421,-23.566885,-46.656055,Sao Paulo,SP
1422,-23.564950,-46.659871,Sao Paulo,SP
1423,-23.571164,-46.653756,Sao Paulo,SP
1424,-23.573228,-46.656093,Sao Paulo,SP
1425,-23.574526,-46.658511,Sao Paulo,SP
1426,-23.561084,-46.671265,Sao Paulo,SP
1427,-23.563390,-46.673415,Sao Paulo,SP
1428,-23.576461,-46.659331,Sao Paulo,SP
1429,-23.574824,-46.663512,Sao Paulo,SP
1430,-23.574715,-46.666161,Sao Paulo,SP
1431,-23.883184,-46.641829,Sao Paulo,SP
1432,-23.579562,-46.663862,Sao Paulo,SP
1433,-23.582344,-46.669148,Sao Paulo,SP
1434,-23.575172,-46.672131,Sao Paulo,SP
1435,-23.578610,-46.670394,Sao Paulo,SP
1436,-23.569552,-46.666634,Sao Paulo,SP
1437,-23.573064,-46.672021,Sao Paulo,SP
1438,-23.571006,-46.671342,Sao Paulo,SP
1439,-23.565467,-46.671886,Sao Paulo,SP
1440,-23.567022,-46.676555,Sao Paulo,SP
1441,-23.564963,-46.676301,Sao Paulo,SP
1442,-23.563347,-46.675014,Sao Paulo,SP
1443,-23.567268,-46.684908,Sao Paulo,SP
1444,-23.571433,-46.684779,Sao Paulo,SP
1445,-23.573379,-46.686934,Sao Paulo,SP
1446,-23.574893,-46.673769,Sao Paulo,SP
1447,-23.574340,-46.682029,Sao Paulo,SP
1448,-23.579192,-46.680143,Sao Paulo,SP
1449,-23.572319,-46.675072,Sao Paulo,SP
1450,-23.575101,-46.686535,Sao Paulo,SP
1451,-23.576546,-46.687488,Sao Paulo,SP
1452,-23.570810,-46.690775,Sao Paulo,SP
1453,-23.585571,-46.687681,Sao Paulo,SP
1454,-23.582599,-46.687347,Sao Paulo,SP
1455,-23.581235,-46.691997,Sao Paulo,SP
1456,-23.578504,-46.690118,Sao Paulo,SP
1457,-23.579035,-46.690808,Sao Paulo,SP
1472,-23.570544,-46.691297,Sao Paulo,SP
1489,-23.576650,-46.687400,Sao Paulo,SP
1501,-23.551978,-46.635314,Sao Paulo,SP
1502,-23.554674,-46.635520,Sao Paulo,SP
1503,-23.555488,-46.635599,Sao Paulo,SP
1504,-23.572803,-46.640041,Sao Paulo,SP
1505,-23.555337,-46.631413,Sao Paulo,SP
1506,-23.555853,-46.635251,Sao Paulo,SP
1507,-23.558206,-46.628154,Sao Paulo,SP
1508,-23.562260,-46.636490,Sao Paulo,SP
1509,-23.567591,-46.635452,Sao Paulo,SP
1510,-23.560063,-46.633009,Sao Paulo,SP
1511,-23.560279,-46.632741,Sao Paulo,SP
1512,-23.553429,-46.629422,Sao Paulo,SP
1513,-23.556813,-46.630005,Sao Paulo,SP
1514,-23.553064,-46.627686,Sao Paulo,SP
1516,-23.561860,-46.612729,Sao Paulo,SP
1517,-23.559398,-46.623771,Sao Paulo,SP
1518,-23.558930,-46.622924,Sao Paulo,SP
1519,-23.560116,-46.629460,Sao Paulo,SP
1520,-23.558247,-46.619324,Sao Paulo,SP
1521,-23.560757,-46.623184,Sao Paulo,SP
1522,-23.559014,-46.615365,Sao Paulo,SP
1523,-23.563036,-46.616265,Sao Paulo,SP
1524,-23.567229,-46.615417,Sao Paulo,SP
1525,-23.563120,-46.634235,Sao Paulo,SP
1526,-23.566469,-46.630411,Sao Paulo,SP
1527,-23.561591,-46.630128,Sao Paulo,SP
1528,-23.565510,-46.628223,Sao Paulo,SP
1529,-23.564281,-46.629957,Sao Paulo,SP
1530,-23.569852,-46.629511,Sao Paulo,SP
1531,-23.570578,-46.632765,Sao Paulo,SP
1532,-23.572999,-46.635310,Sao Paulo,SP
1533,-23.573596,-46.637745,Sao Paulo,SP
1534,-23.563600,-46.623874,Sao Paulo,SP
1535,-23.573803,-46.625713,Sao Paulo,SP
1536,-23.567090,-46.623144,Sao Paulo,SP
1537,-23.579732,-46.624248,Sao Paulo,SP
1538,-23.573205,-46.622900,Sao Paulo,SP
1539,-23.572884,-46.621431,Sao Paulo,SP
1540,-23.565327,-46.621666,Sao Paulo,SP
1541,-23.568722,-46.618801,Sao Paulo,SP
1542,-23.569079,-46.625369,Sao Paulo,SP
1543,-23.575082,-46.624079,Sao Paulo,SP
1544,-23.576958,-46.622331,Sao Paulo,SP
1545,-23.578238,-46.620423,Sao Paulo,SP
1546,-23.579230,-46.619317,Sao Paulo,SP
1547,-23.584975,-46.618412,Sao Paulo,SP
1548,-23.577562,-46.614840,Sao Paulo,SP
1549,-23.577182,-46.618262,Sao Paulo,SP
1550,-23.571742,-46.616521,Sao Paulo,SP
1551,-23.568512,-46.613001,Sao Paulo,SP
1552,-23.572441,-46.611143,Sao Paulo,SP
1553,-23.573724,-46.607934,Sao Paulo,SP
2009,-23.515799,-46.641139,Sao Paulo,SP
2010,-23.514930,-46.626406,Sao Paulo,SP
2011,-23.501903,-46.626229,Sao Paulo,SP
2012,-23.513632,-46.630089,Sao Paulo,SP
2013,-23.502703,-46.626806,Sao Paulo,SP
2016,-23.501062,-46.631052,Sao Paulo,SP
2017,-23.500229,-46.629498,Sao Paulo,SP
2018,-23.497811,-46.627781,Sao Paulo,SP
2019,-23.499199,-46.630972,Sao Paulo,SP
2020,-23.497736,-46.632058,Sao Paulo,SP
2021,-23.498824,-46.635390,Sao Paulo,SP
2022,-23.504336,-46.636140,Sao Paulo,SP
2028,-23.508128,-46.618319,Sao Paulo,SP
2029,-23.510765,-46.619722,Sao Paulo,SP
2030,-23.501547,-46.624553,Sao Paulo,SP
2031,-23.503127,-46.624971,Sao Paulo,SP
2032,-23.509879,-46.624153,Sao Paulo,SP
2033,-23.497405,-46.611088,Sao Paulo,SP
2034,-23.505947,-46.623722,Sao Paulo,SP
2035,-23.495841,-46.622089,Sao Paulo,SP
2036,-23.500958,-46.621853,Sao Paulo,SP
2037,-23.499908,-46.624211,Sao Paulo,SP
2038,-23.494540,-46.624657,Sao Paulo,SP
2039,-23.494116,-46.621508,Sao Paulo,SP
2040,-23.488399,-46.622307,Sao Paulo,SP
2041,-23.488214,-46.621030,Sao Paulo,SP
2042,-23.496590,-46.613961,Sao Paulo,SP
2043,-23.490340,-46.612674,Sao Paulo,SP
2044,-23.498030,-46.618366,Sao Paulo,SP
2045,-23.492584,-46.614227,Sao Paulo,SP
2046,-23.491053,-46.612245,Sao Paulo,SP
2047,-23.519423,-46.611995,Sao Paulo,SP
2049,-23.513357,-46.618619,Sao Paulo,SP
2050,-23.518457,-46.614835,Sao Paulo,SP
2051,-23.503508,-46.604638,Sao Paulo,SP
2052,-23.510253,-46.606428,Sao Paulo,SP
2053,-23.510427,-46.601180,Sao Paulo,SP
2054,-23.518959,-46.607849,Sao Paulo,SP
2055,-23.513000,-46.610604,Sao Paulo,SP
2056,-23.511235,-46.604145,Sao Paulo,SP
2060,-23.519122,-46.603202,Sao Paulo,SP
2064,-23.519808,-46.596046,Sao Paulo,SP
2065,-23.515673,-46.608042,Sao Paulo,SP
2066,-23.506676,-46.607630,Sao Paulo,SP
2067,-23.503927,-46.610638,Sao Paulo,SP
2068,-23.503364,-46.611600,Sao Paulo,SP
2069,-23.506121,-46.613503,Sao Paulo,SP
2071,-23.501437,-46.613053,Sao Paulo,SP
2072,-23.501173,-46.611764,Sao Paulo,SP
2073,-23.502879,-46.606051,Sao Paulo,SP
2074,-23.506628,-46.595848,Sao Paulo,SP
2075,-23.506432,-46.601146,Sao Paulo,SP
2076,-23.506374,-46.598530,Sao Paulo,SP
2077,-23.499984,-46.598182,Sao Paulo,SP
2078,-23.501015,-46.595334,Sao Paulo,SP
2079,-23.498726,-46.609201,Sao Paulo,SP
2080,-23.497587,-46.607272,Sao Paulo,SP
2081,-23.497225,-46.605339,Sao Paulo,SP
2082,-23.494972,-46.608918,Sao Paulo,SP
2083,-23.496568,-46.594858,Sao Paulo,SP
2084,-23.496478,-46.600529,Sao Paulo,SP
2085,-23.497444,-46.612609,Sao Paulo,SP
2088,-23.504240,-46.620742,Sao Paulo,SP
2089,-23.517094,-46.616673,Sao Paulo,SP
2110,-23.519544,-46.597618,Sao Paulo,SP
2111,-23.519989,-46.593817,Sao Paulo,SP
2112,-23.507289,-46.589236,Sao Paulo,SP
2113,-23.515288,-46.587345,Sao Paulo,SP
2114,-23.521242,-46.589146,Sao Paulo,SP
2115,-23.526500,-46.591886,Sao Paulo,SP
2116,-23.525239,-46.589437,Sao Paulo,SP
2117,-23.520195,-46.593539,Sao Paulo,SP
2118,-23.514991,-46.592912,Sao Paulo,SP
2119,-23.509993,-46.590089,Sao Paulo,SP
2120,-23.509226,-46.594416,Sao Paulo,SP
2121,-23.514794,-46.584757,Sao Paulo,SP
2122,-23.509354,-46.590971,Sao Paulo,SP
2123,-23.509929,-46.579583,Sao Paulo,SP
2124,-23.505603,-46.576948,Sao Paulo,SP
2125,-23.510790,-46.586376,Sao Paulo,SP
2126,-23.508526,-46.589434,Sao Paulo,SP
2127,-23.511350,-46.583877,Sao Paulo,SP
2128,-23.505254,-46.594527,Sao Paulo,SP
2129,-23.501881,-46.589156,Sao Paulo,SP
2130,-23.507503,-46.586626,Sao Paulo,SP
2131,-23.505005,-46.580080,Sao Paulo,SP
2132,-23.502129,-46.581883,Sao Paulo,SP
2133,-23.498691,-46.584508,Sao Paulo,SP
2134,-23.497793,-46.585881,Sao Paulo,SP
2135,-23.495516,-46.585221,Sao Paulo,SP
2136,-23.499304,-46.582886,Sao Paulo,SP
2137,-23.497897,-46.576504,Sao Paulo,SP
2138,-23.494900,-46.574376,Sao Paulo,SP
2139,-23.492109,-46.573420,Sao Paulo,SP
2141,-23.489631,-46.571822,Sao Paulo,SP
2142,-23.509860,-46.575485,Sao Paulo,SP
2143,-23.507992,-46.575217,Sao Paulo,SP
2144,-23.502872,-46.571403,Sao Paulo,SP
2145,-23.502788,-46.566743,Sao Paulo,SP
2146,-23.500957,-46.570882,Sao Paulo,SP
2147,-23.497167,-46.565113,Sao Paulo,SP
2150,-23.493243,-46.568367,Sao Paulo,SP
2151,-23.499888,-46.571052,Sao Paulo,SP
2152,-23.498707,-46.572695,Sao Paulo,SP
2161,-23.488032,-46.568799,Sao Paulo,SP
2162,-23.490306,-46.561910,Sao Paulo,SP
2166,-23.526409,-46.582975,Sao Paulo,SP
2167,-23.522613,-46.582017,Sao Paulo,SP
2168,-23.522183,-46.579877,Sao Paulo,SP
2169,-23.519669,-46.575756,Sao Paulo,SP
2170,-23.525340,-46.575954,Sao Paulo,SP
2174,-23.523063,-46.571897,Sao Paulo,SP
2175,-23.515196,-46.576116,Sao Paulo,SP
2176,-23.510779,-46.572844,Sao Paulo,SP
2177,-23.511657,-46.570296,Sao Paulo,SP
2178,-23.518076,-46.568534,Sao Paulo,SP
2179,-23.520154,-46.568632,Sao Paulo,SP
2180,-23.522009,-46.565684,Sao Paulo,SP
2181,-23.518767,-46.564160,Sao Paulo,SP
2185,-23.516497,-46.566852,Sao Paulo,SP
2186,-23.513355,-46.568773,Sao Paulo,SP
2187,-23.515582,-46.563904,Sao Paulo,SP
2188,-23.510865,-46.568110,Sao Paulo,SP
2189,-23.506758,-46.566872,Sao Paulo,SP
2190,-23.505024,-46.565271,Sao Paulo,SP
2201,-23.483856,-46.591104,Sao Paulo,SP
2202,-23.494828,-46.593584,Sao Paulo,SP
2203,-23.491930,-46.590417,Sao Paulo,SP
2204,-23.490690,-46.594888,Sao Paulo,SP
2205,-23.489730,-46.589900,Sao Paulo,SP
2206,-23.486266,-46.590997,Sao Paulo,SP
2207,-23.485197,-46.586348,Sao Paulo,SP
2208,-23.484580,-46.588209,Sao Paulo,SP
2209,-23.492045,-46.575332,Sao Paulo,SP
2210,-23.480422,-46.585503,Sao Paulo,SP
2211,-23.496458,-46.593848,Sao Paulo,SP
2212,-23.494357,-46.587947,Sao Paulo,SP
2213,-23.492777,-46.584316,Sao Paulo,SP
2214,-23.492816,-46.587430,Sao Paulo,SP
2215,-23.490785,-46.585833,Sao Paulo,SP
2216,-23.494594,-46.577202,Sao Paulo,SP
2217,-23.491341,-46.578571,Sao Paulo,SP
2218,-23.486735,-46.584080,Sao Paulo,SP
2219,-23.487147,-46.581702,Sao Paulo,SP
2220,-23.489199,-46.577319,Sao Paulo,SP
2221,-23.481449,-46.581647,Sao Paulo,SP
2222,-23.482424,-46.574101,Sao Paulo,SP
2223,-23.476897,-46.579295,Sao Paulo,SP
2224,-23.484489,-46.573320,Sao Paulo,SP
2225,-23.483051,-46.573938,Sao Paulo,SP
2226,-23.473494,-46.577898,Sao Paulo,SP
2227,-23.471955,-46.575163,Sao Paulo,SP
2228,-23.471278,-46.573910,Sao Paulo,SP
2229,-23.473952,-46.572000,Sao Paulo,SP
2230,-23.483708,-46.565433,Sao Paulo,SP
2231,-23.475440,-46.565489,Sao Paulo,SP
2232,-23.476495,-46.561981,Sao Paulo,SP
2233,-23.478205,-46.563128,Sao Paulo,SP
2234,-23.481200,-46.568006,Sao Paulo,SP
2235,-23.478697,-46.577249,Sao Paulo,SP
2236,-23.471832,-46.568520,Sao Paulo,SP
2237,-23.465476,-46.570860,Sao Paulo,SP
2238,-23.472305,-46.570765,Sao Paulo,SP
2239,-23.484661,-46.607388,Sao Paulo,SP
2240,-23.480148,-46.604096,Sao Paulo,SP
2241,-23.492353,-46.604961,Sao Paulo,SP
2242,-23.486995,-46.606822,Sao Paulo,SP
2243,-23.492367,-46.607442,Sao Paulo,SP
2244,-23.487165,-46.604939,Sao Paulo,SP
2245,-23.484356,-46.606037,Sao Paulo,SP
2246,-23.487540,-46.602451,Sao Paulo,SP
2247,-23.483358,-46.600125,Sao Paulo,SP
2248,-23.481691,-46.600518,Sao Paulo,SP
2249,-23.488544,-46.598275,Sao Paulo,SP
2250,-23.485951,-46.598778,Sao Paulo,SP
2251,-23.480975,-46.596560,Sao Paulo,SP
2252,-23.479538,-46.589814,Sao Paulo,SP
2253,-23.479260,-46.592582,Sao Paulo,SP
2254,-23.485231,-46.593595,Sao Paulo,SP
2255,-23.475137,-46.588676,Sao Paulo,SP
2256,-23.475336,-46.587854,Sao Paulo,SP
2257,-23.472180,-46.582417,Sao Paulo,SP
2258,-23.474932,-46.581027,Sao Paulo,SP
2259,-23.471701,-46.581746,Sao Paulo,SP
2260,-23.469303,-46.575505,Sao Paulo,SP
2261,-23.468426,-46.578105,Sao Paulo,SP
2262,-23.464761,-46.574987,Sao Paulo,SP
2263,-23.463533,-46.577156,Sao Paulo,SP
2264,-23.461106,-46.574637,Sao Paulo,SP
2265,-23.473596,-46.589353,Sao Paulo,SP
2266,-23.480765,-46.600795,Sao Paulo,SP
2267,-23.480481,-46.602389,Sao Paulo,SP
2268,-23.469571,-46.593405,Sao Paulo,SP
2269,-23.473035,-46.596766,Sao Paulo,SP
2270,-23.470943,-46.593121,Sao Paulo,SP
2271,-23.471993,-46.589200,Sao Paulo,SP
2272,-23.469219,-46.587217,Sao Paulo,SP
2273,-23.466658,-46.588163,Sao Paulo,SP
2274,-23.467609,-46.586946,Sao Paulo,SP
2275,-23.467313,-46.592565,Sao Paulo,SP
2276,-23.459681,-46.585016,Sao Paulo,SP
2277,-23.465114,-46.581331,Sao Paulo,SP
2278,-23.463388,-46.582237,Sao Paulo,SP
2279,-23.460481,-46.575852,Sao Paulo,SP
2280,-23.455935,-46.576221,Sao Paulo,SP
2281,-23.450088,-46.578234,Sao Paulo,SP
2282,-23.443304,-46.568027,Sao Paulo,SP
2284,-23.469703,-46.568683,Sao Paulo,SP
2286,-23.408587,-46.579603,Sao Paulo,SP
2288,-23.434257,-46.569732,Sao Paulo,SP
2289,-23.419788,-46.581697,Sao Paulo,SP
2290,-23.725916,-46.709104,Sao Paulo,SP
2301,-23.487680,-46.613951,Sao Paulo,SP
2302,-23.487382,-46.611814,Sao Paulo,SP
2303,-23.482427,-46.612485,Sao Paulo,SP
2304,-23.480236,-46.607133,Sao Paulo,SP
2305,-23.480319,-46.606902,Sao Paulo,SP
2306,-23.446743,-46.598375,Sao Paulo,SP
2307,-23.482996,-46.608378,Sao Paulo,SP
2308,-23.476617,-46.607106,Sao Paulo,SP
2309,-23.476769,-46.603135,Sao Paulo,SP
2310,-23.474173,-46.601634,Sao Paulo,SP
2311,-23.469417,-46.599812,Sao Paulo,SP
2312,-23.445184,-46.581452,Sao Paulo,SP
2313,-23.467363,-46.594619,Sao Paulo,SP
2314,-23.461368,-46.601105,Sao Paulo,SP
2315,-23.460744,-46.602079,Sao Paulo,SP
2316,-23.465020,-46.595369,Sao Paulo,SP
2317,-23.457357,-46.595195,Sao Paulo,SP
2318,-23.450704,-46.586242,Sao Paulo,SP
2319,-23.450057,-46.592278,Sao Paulo,SP
2320,-23.451261,-46.598773,Sao Paulo,SP
2321,-23.449151,-46.590110,Sao Paulo,SP
2322,-23.445907,-46.591631,Sao Paulo,SP
2323,-23.440692,-46.580560,Sao Paulo,SP
2324,-23.442459,-46.588345,Sao Paulo,SP
2325,-23.454486,-46.585040,Sao Paulo,SP
2326,-23.627480,-46.759237,Sao Paulo,SP
