customers_id,customer_unique_id,customer_zip_code,customer_city,customer_state
142,SP- 1853,4157,Sao Paulo,SP
143,SP- 35633,2315,Sao Paulo,SP
144,MG- 355,31130,Belo Horizonte,MG
145,MG- 8998,30666,Belo Horizonte,MG
146,PI- 23,64073,Teresina,PI
147,SP- 7684,13178,Sumare,SP
148,PR- 3107,81210,Curitiba,PR
149,SP- 20059,12230,Sao Jose Dos Campos,SP
150,RS- 5447,95095,Caxias Do Sul,RS
151,PA- 54,66055,Belem,PA
152,PR- 270,87010,Maringa,PR
153,SP- 39092,13040,Campinas,SP
154,SP- 7801,8010,Sao Paulo,SP
155,DF- 2046,71882,Brasilia,DF
156,SP- 37909,5791,Sao Paulo,SP
157,MG- 455,30626,Belo Horizonte,MG
158,MG- 9074,38550,Coromandel,MG
159,RJ- 1905,28610,Nova Friburgo,RJ
160,SP- 35959,12241,Sao Jose Dos Campos,SP
161,RS- 4517,95880,Estrela,RS
162,SP- 18725,14051,Ribeirao Preto,SP
163,RS- 4572,91360,Porto Alegre,RS
164,SP- 32335,18600,Botucatu,SP
165,SP- 11927,1552,Sao Paulo,SP
166,SP- 26363,13060,Campinas,SP
167,SP- 34276,1209,Sao Paulo,SP
168,PR- 4893,83420,Quatro Barras,PR
169,SC- 2079,88802,Criciuma,SC
170,PA- 135,68371,Altamira,PA
171,RS- 4243,99010,Passo Fundo,RS
172,PR- 4171,85640,Ampere,PR
173,SP- 39146,1251,Sao Paulo,SP
174,SP- 38733,14815,Ibate,SP
175,ES- 1497,29072,Vitoria,ES
176,RS- 1055,90470,Porto Alegre,RS
177,SP- 21909,3611,Sao Paulo,SP
178,SP- 21603,13212,Jundiai,SP
179,SP- 28098,3041,Sao Paulo,SP
180,SC- 1165,88301,Itajai,SC
181,SP- 36330,3022,Sao Paulo,SP
182,ES- 144,29060,Vitoria,ES
183,MG- 8783,38412,Uberlandia,MG
184,MG- 5153,37410,Tres Coracoes,MG
185,RJ- 5826,21230,Rio De Janeiro,RJ
186,MG- 8792,31130,Belo Horizonte,MG
187,SC- 959,88070,Florianopolis,SC
188,SP- 23504,17026,Bauru,SP
189,SP- 26523,3951,Sao Paulo,SP
190,MG- 11226,35950,Alvinopolis,MG
191,SP- 500,13145,Paulinia,SP
192,MG- 5309,30260,Belo Horizonte,MG
193,RJ- 5797,28080,Campos Dos Goytacazes,RJ
194,PR- 4281,84060,Ponta Grossa,PR
195,SP- 3502,8665,Suzano,SP
196,BA- 3299,40255,Salvador,BA
197,MG- 1091,37750,Machado,MG
198,SP- 3683,17511,Marilia,SP
199,GO- 1898,74063,Goiania,GO
200,RJ- 12522,22733,Rio De Janeiro,RJ
201,RS- 303,96450,Dom Pedrito,RS
202,SP- 36631,12120,Tremembe,SP
203,BA- 1952,40440,Salvador,BA
205,MG- 2921,37640,Extrema,MG
206,SP- 21600,6226,Osasco,SP
207,PE- 952,54580,Cabo De Santo Agostinho,PE
208,SP- 6498,6397,Carapicuiba,SP
209,SP- 27244,2804,Sao Paulo,SP
210,PI- 392,64078,Teresina,PI
211,RO- 137,76934,Seringueiras,RO
212,SP- 33281,17024,Bauru,SP
213,SP- 24011,8772,Mogi Das Cruzes,SP
214,PE- 1622,50020,Recife,PE
215,MG- 11434,37570,Ouro Fino,MG
216,DF- 1414,71050,Brasilia,DF
217,RJ- 2767,22290,Rio De Janeiro,RJ
218,MA- 463,65260,Cedral,MA
219,SP- 2102,13330,Indaiatuba,SP
220,SC- 1608,88316,Itajai,SC
221,RJ- 201,27700,Vassouras,RJ
222,SP- 2036,3578,Sao Paulo,SP
223,GO- 1788,75804,Jatai,GO
224,SP- 34778,5335,Sao Paulo,SP
225,MG- 8498,32604,Betim,MG
226,MG- 9403,35628,Morada Nova De Minas,MG
227,SP- 30992,13035,Campinas,SP
228,RJ- 8933,25651,Petropolis,RJ
229,SP- 28971,18520,Cerquilho,SP
230,RJ- 12203,23013,Rio De Janeiro,RJ
231,RS- 2340,97700,Santiago,RS
232,GO- 1091,73900,Posse,GO
233,SC- 1072,89224,Joinville,SC
234,RS- 4420,93025,Sao Leopoldo,RS
235,SP- 36443,13290,Louveira,SP
236,PR- 639,85810,Cascavel,PR
237,MA- 151,65110,Sao Jose De Ribamar,MA
238,SP- 6598,6730,Vargem Grande Paulista,SP
239,SP- 6639,13076,Campinas,SP
240,RS- 152,97590,Rosario Do Sul,RS
241,BA- 1125,44700,Jacobina,BA
242,SP- 16698,8780,Mogi Das Cruzes,SP
243,MG- 3923,30880,Belo Horizonte,MG
244,SP- 26172,6365,Carapicuiba,SP
245,RJ- 5736,28941,Sao Pedro Da Aldeia,RJ
246,GO- 132,75533,Itumbiara,GO
247,SP- 9325,11035,Santos,SP
248,SP- 5596,18112,Votorantim,SP
249,RJ- 12069,20530,Rio De Janeiro,RJ
250,SE- 273,49530,Ribeiropolis,SE
251,SP- 32493,19860,Cruzalia,SP
252,SP- 14109,3758,Sao Paulo,SP
253,SP- 6589,4944,Sao Paulo,SP
254,SP- 40344,4011,Sao Paulo,SP
255,SP- 41493,3435,Sao Paulo,SP
256,SP- 30201,9821,Sao Bernardo Do Campo,SP
257,MG- 11343,37500,Itajuba,MG
258,SP- 24159,8490,Sao Paulo,SP
259,SP- 35430,6226,Osasco,SP
260,MG- 3373,36061,Juiz De Fora,MG
261,SP- 1433,9750,Sao Bernardo Do Campo,SP
262,DF- 1621,71015,Brasilia,DF
263,SP- 1513,18275,Tatui,SP
264,SP- 23319,11055,Santos,SP
265,RJ- 2881,22241,Rio De Janeiro,RJ
266,CE- 203,60347,Fortaleza,CE
267,SP- 3071,12236,Sao Jose Dos Campos,SP
268,SP- 41138,6362,Carapicuiba,SP
269,SP- 9492,3476,Sao Paulo,SP
270,RO- 177,76825,Porto Velho,RO
271,SC- 995,88210,Porto Belo,SC
272,SP- 11036,14883,Jaboticabal,SP
273,MG- 9925,37150,Carmo Do Rio Claro,MG
274,AM- 7,69033,Manaus,AM
275,SP- 30660,15990,Matao,SP
276,PI- 4,64235,Cocal,PI
277,DF- 1989,72115,Brasilia,DF
278,SP- 18825,3572,Sao Paulo,SP
279,MG- 2091,31010,Belo Horizonte,MG
280,RJ- 2838,21860,Rio De Janeiro,RJ
281,SP- 30013,2860,Sao Paulo,SP
282,SP- 34065,4835,Sao Paulo,SP
283,MG- 11460,39400,Montes Claros,MG
284,SP- 37120,13097,Campinas,SP
285,SP- 15867,9230,Santo Andre,SP
286,MG- 4929,38465,Arapora,MG
287,SP- 17272,12243,Sao Jose Dos Campos,SP
288,SP- 5717,14055,Ribeirao Preto,SP
289,RS- 4830,99700,Erechim,RS
290,RJ- 8627,21745,Rio De Janeiro,RJ
291,DF- 1005,73350,Brasilia,DF
292,SP- 13146,18550,Boituva,SP
293,SP- 21491,1440,Sao Paulo,SP
294,SC- 2286,88070,Florianopolis,SC
295,RJ- 6994,26022,Nova Iguacu,RJ
296,SP- 31698,1507,Sao Paulo,SP
297,MG- 1532,39848,Sao Jose Do Divino,MG
298,SP- 21587,13505,Rio Claro,SP
299,MG- 8210,32071,Contagem,MG
300,MG- 8206,33600,Pedro Leopoldo,MG
301,MT- 322,78455,Lucas Do Rio Verde,MT
302,RJ- 8413,20511,Rio De Janeiro,RJ
303,SP- 4500,11680,Ubatuba,SP
304,RS- 317,90670,Porto Alegre,RS
305,RJ- 8948,24901,Marica,RJ
306,RJ- 11864,22793,Rio De Janeiro,RJ
307,BA- 2496,46580,Tanque Novo,BA
308,SP- 6268,13141,Paulinia,SP
309,PR- 4373,84172,Castro,PR
310,SP- 23095,4011,Sao Paulo,SP
311,PE- 1284,53700,Itapissuma,PE
312,SP- 2685,5347,Sao Paulo,SP
313,GO- 1434,72920,Aguas Lindas De Goias,GO
314,MG- 699,33115,Santa Luzia,MG
315,SP- 37364,12570,Aparecida,SP
316,MA- 221,65072,Sao Luis,MA
317,SP- 9930,2130,Sao Paulo,SP
318,PR- 1270,83410,Colombo,PR
319,PR- 1766,84400,Prudentopolis,PR
320,GO- 1030,74140,Goiania,GO
321,SC- 751,89237,Joinville,SC
322,SP- 29547,7841,Franco Da Rocha,SP
323,MG- 11379,31340,Belo Horizonte,MG
324,SP- 34370,9351,Maua,SP
325,SC- 1572,89216,Joinville,SC
326,SP- 7412,7713,Caieiras,SP
327,SP- 25395,6815,Embu Das Artes,SP
328,SP- 6568,8588,Itaquaquecetuba,SP
329,ES- 1185,29315,Cachoeiro De Itapemirim,ES
330,SP- 32851,13650,Santa Cruz Das Palmeiras,SP
331,RJ- 10670,24020,Niteroi,RJ
332,RS- 725,95040,Caxias Do Sul,RS
333,SP- 28196,12243,Sao Jose Dos Campos,SP
334,SP- 10920,4857,Sao Paulo,SP
335,RJ- 8263,23052,Rio De Janeiro,RJ
336,RJ- 7140,22720,Rio De Janeiro,RJ
337,SP- 34216,2130,Sao Paulo,SP
338,RS- 4183,95985,Nova Alvorada,RS
339,AM- 102,69020,Manaus,AM
340,MG- 1,36520,Visconde Do Rio Branco,MG
341,RJ- 8194,28680,Cachoeiras De Macacu,RJ
342,MG- 650,35010,Governador Valadares,MG
343,PR- 4796,80430,Curitiba,PR
344,RS- 2367,90470,Porto Alegre,RS
345,RS- 905,99145,Coxilha,RS
346,ES- 310,29900,Linhares,ES
347,SP- 34567,5409,Sao Paulo,SP
348,MG- 11238,35500,Divinopolis,MG
349,MG- 6879,36420,Ouro Branco,MG
350,SP- 33489,5037,Sao Paulo,SP
351,SP- 37742,5717,Sao Paulo,SP
352,SP- 9098,5323,Sao Paulo,SP
353,PR- 4623,86010,Londrina,PR
354,SP- 11663,6709,Cotia,SP
355,RJ- 4410,25935,Mage,RJ
356,SP- 19995,4534,Sao Paulo,SP
357,RJ- 8557,20730,Rio De Janeiro,RJ
358,SP- 15118,13212,Jundiai,SP
359,SP- 8718,12227,Sao Jose Dos Campos,SP
360,RJ- 10759,22430,Rio De Janeiro,RJ
361,RJ- 11418,26574,Mesquita,RJ
362,MG- 9800,37940,Alpinopolis,MG
363,CE- 576,60824,Fortaleza,CE
364,SP- 13580,15070,Sao Jose Do Rio Preto,SP
365,RJ- 10238,26325,Queimados,RJ
366,MG- 8224,35360,Sao Pedro Dos Ferros,MG
367,SP- 41522,3570,Sao Paulo,SP
368,SP- 39906,13224,Varzea Paulista,SP
369,SP- 29980,9351,Maua,SP
370,MG- 1406,39401,Montes Claros,MG
371,SP- 8197,4571,Sao Paulo,SP
372,MS- 66,79090,Campo Grande,MS
373,BA- 3244,45570,Ipiau,BA
374,RS- 1497,98025,Cruz Alta,RS
375,PR- 1623,85801,Cascavel,PR
376,SP- 35022,6186,Osasco,SP
377,PE- 165,55400,Catende,PE
378,SP- 1545,6170,Osasco,SP
379,SC- 2214,89160,Rio Do Sul,SC
380,MT- 198,78573,Tapurah,MT
381,SP- 33072,3116,Sao Paulo,SP
382,RJ- 4162,26321,Queimados,RJ
383,SP- 10834,6145,Osasco,SP
384,SP- 34594,11702,Praia Grande,SP
385,RJ- 11634,24445,Sao Goncalo,RJ
386,RJ- 3179,26277,Nova Iguacu,RJ
387,AL- 136,57035,Maceio,AL
388,SP- 31256,6236,Osasco,SP
389,MG- 11032,37262,Santo Antonio Do Amparo,MG
390,SP- 8911,14401,Franca,SP
391,GO- 1060,74610,Goiania,GO
392,RS- 2093,97502,Uruguaiana,RS
393,PR- 2196,81050,Curitiba,PR
394,MG- 7465,38184,Araxa,MG
395,SP- 9324,13334,Indaiatuba,SP
396,MG- 562,32670,Betim,MG
397,RJ- 2738,28613,Nova Friburgo,RJ
398,RJ- 11315,26277,Nova Iguacu,RJ
399,TO- 79,77015,Palmas,TO
400,SP- 33147,11442,Guaruja,SP
401,SP- 38042,4561,Sao Paulo,SP
402,SP- 811,13485,Limeira,SP
403,SP- 6902,12215,Sao Jose Dos Campos,SP
404,SP- 11655,7054,Guarulhos,SP
405,RN- 297,59015,Natal,RN
406,SC- 1771,88870,Orleans,SC
407,RJ- 7141,26330,Queimados,RJ
408,SP- 28311,4506,Sao Paulo,SP
409,MG- 111,36500,Uba,MG
410,SP- 13125,16204,Birigui,SP
411,MG- 499,37800,Guaxupe,MG
412,SP- 11098,7176,Guarulhos,SP
413,MG- 1435,35054,Governador Valadares,MG
414,GO- 580,75701,Catalao,GO
415,PA- 45,68040,Santarem,PA
416,SP- 32289,8715,Mogi Das Cruzes,SP
417,MT- 486,78200,Caceres,MT
418,SC- 1002,88025,Florianopolis,SC
419,SP- 9024,4890,Sao Paulo,SP
420,SP- 9755,1202,Sao Paulo,SP
421,SP- 27865,1230,Sao Paulo,SP
422,SP- 5211,11040,Santos,SP
423,MG- 2027,31650,Belo Horizonte,MG
424,RJ- 7004,24360,Niteroi,RJ
425,SP- 17672,1221,Sao Paulo,SP
426,RS- 4822,95185,Carlos Barbosa,RS
427,RJ- 4925,20091,Rio De Janeiro,RJ
428,SP- 19659,9450,Rio Grande Da Serra,SP
429,SP- 33944,13510,Santa Gertrudes,SP
430,DF- 1911,70355,Brasilia,DF
431,SP- 31554,13455,Santa Barbara D'Oeste,SP
432,SP- 21718,12400,Pindamonhangaba,SP
433,SP- 10029,4739,Sao Paulo,SP
434,PB- 478,58780,Itaporanga,PB
435,GO- 914,76200,Ipora,GO
436,MG- 2367,35560,Santo Antonio Do Monte,MG
437,SP- 11707,13880,Vargem Grande Do Sul,SP
438,MG- 4507,38031,Uberaba,MG
439,SP- 15203,1525,Sao Paulo,SP
440,SP- 3800,15060,Sao Jose Do Rio Preto,SP
441,PR- 1206,86050,Londrina,PR
442,SP- 38426,4902,Sao Paulo,SP
443,SP- 14681,5574,Sao Paulo,SP
444,RJ- 1476,28625,Nova Friburgo,RJ
445,RJ- 7773,28200,Sao Joao Da Barra,RJ
446,SP- 37803,6406,Barueri,SP
447,SP- 25694,13690,Descalvado,SP
448,SP- 37444,3644,Sao Paulo,SP
449,RJ- 8926,22011,Rio De Janeiro,RJ
450,PE- 752,50050,Recife,PE
451,MG- 7117,31160,Belo Horizonte,MG
452,SP- 2505,8490,Sao Paulo,SP
453,RJ- 9115,22733,Rio De Janeiro,RJ
454,RJ- 12121,22461,Rio De Janeiro,RJ
455,PA- 603,66615,Belem,PA
456,SP- 7569,3303,Sao Paulo,SP
457,SP- 38988,19360,Santo Anastacio,SP
458,BA- 2371,41750,Salvador,BA
459,SP- 10080,7841,Franco Da Rocha,SP
460,RJ- 2813,23050,Rio De Janeiro,RJ
461,SP- 37076,8151,Sao Paulo,SP
462,SP- 23747,4002,Sao Paulo,SP
463,RJ- 4669,28010,Campos Dos Goytacazes,RJ
464,SP- 39460,4360,Sao Paulo,SP
465,SP- 21720,4842,Sao Paulo,SP
466,MG- 2800,31560,Belo Horizonte,MG
467,RJ- 6072,21051,Rio De Janeiro,RJ
468,MG- 10128,30140,Belo Horizonte,MG
469,SC- 1671,88526,Lages,SC
470,PR- 911,80440,Curitiba,PR
471,RJ- 8960,27963,Macae,RJ
472,SP- 3180,9195,Santo Andre,SP
473,MG- 469,38320,Santa Vitoria,MG
474,SP- 22361,6463,Barueri,SP
475,SP- 31317,17800,Adamantina,SP
476,AC- 76,69950,Manoel Urbano,AC
477,RJ- 11936,25961,Teresopolis,RJ
478,SP- 27851,4578,Sao Paulo,SP
479,SP- 3189,2161,Sao Paulo,SP
480,SP- 4724,8725,Mogi Das Cruzes,SP
481,RJ- 5735,23066,Rio De Janeiro,RJ
482,SP- 5829,18707,Avare,SP
483,SP- 20231,12243,Sao Jose Dos Campos,SP
484,SP- 4349,5409,Sao Paulo,SP
485,MG- 10729,36900,Manhuacu,MG
486,MA- 646,65750,Esperantinopolis,MA
487,BA- 2456,44550,Sao Felipe,BA
488,RJ- 6197,27313,Barra Mansa,RJ
489,SP- 7343,3322,Sao Paulo,SP
490,SP- 11351,1424,Sao Paulo,SP
491,SC- 2368,88130,Palhoca,SC
492,SP- 36591,13087,Campinas,SP
493,RJ- 7393,22060,Rio De Janeiro,RJ
494,RJ- 10469,20220,Rio De Janeiro,RJ
495,SP- 485,9530,Sao Caetano Do Sul,SP
496,RS- 3118,98960,Santo Cristo,RS
497,SP- 28615,5346,Sao Paulo,SP
498,ES- 1787,29309,Cachoeiro De Itapemirim,ES
499,SP- 33759,13054,Campinas,SP
500,SP- 18176,7160,Guarulhos,SP
501,MG- 8060,37552,Pouso Alegre,MG
502,PB- 336,58036,Joao Pessoa,PB
503,RJ- 1336,22081,Rio De Janeiro,RJ
504,SP- 9124,6329,Carapicuiba,SP
505,RJ- 10115,28055,Campos Dos Goytacazes,RJ
506,SP- 11110,9950,Diadema,SP
507,MG- 8798,30575,Belo Horizonte,MG
508,SP- 39088,4135,Sao Paulo,SP
509,PR- 4667,85460,Quedas Do Iguacu,PR
510,SP- 5599,12942,Atibaia,SP
511,PR- 1918,86088,Londrina,PR
512,SP- 23888,1307,Sao Paulo,SP
513,PR- 2785,86036,Londrina,PR
514,RJ- 7360,23060,Rio De Janeiro,RJ
515,BA- 1838,41701,Salvador,BA
516,RS- 3826,95185,Carlos Barbosa,RS
517,SC- 1656,89050,Blumenau,SC
518,PR- 468,84900,Ibaiti,PR
519,MG- 10819,30315,Belo Horizonte,MG
520,MG- 9833,38057,Uberaba,MG
521,RS- 3638,90030,Porto Alegre,RS
522,SP- 18374,2403,Sao Paulo,SP
523,SP- 41471,13454,Santa Barbara D'Oeste,SP
524,SP- 32865,11533,Cubatao,SP
525,SP- 37633,13417,Piracicaba,SP
526,MG- 9555,33913,Ribeirao Das Neves,MG
527,PR- 2290,86300,Cornelio Procopio,PR
528,SP- 241,11453,Guaruja,SP
529,MG- 4056,39795,Sao Sebastiao Do Maranhao,MG
530,SP- 19254,3589,Sao Paulo,SP
531,SP- 1360,13360,Capivari,SP
532,RS- 509,96020,Pelotas,RS
533,DF- 1634,72592,Brasilia,DF
534,SP- 12199,6710,Cotia,SP
535,GO- 721,74645,Goiania,GO
536,RJ- 7505,24710,Sao Goncalo,RJ
537,PR- 1429,81935,Curitiba,PR
538,SP- 11235,6786,Taboao Da Serra,SP
539,MG- 11063,31330,Belo Horizonte,MG
540,RJ- 12449,21011,Rio De Janeiro,RJ
541,SP- 2699,4296,Sao Paulo,SP
542,MG- 745,32280,Contagem,MG
543,MG- 4414,37110,Eloi Mendes,MG
544,SP- 28171,6330,Carapicuiba,SP
545,CE- 198,60744,Fortaleza,CE
546,SP- 5898,13070,Campinas,SP
547,BA- 706,42840,Abrantes,BA
548,MG- 7201,35054,Governador Valadares,MG
549,SP- 37267,15130,Mirassol,SP
550,SP- 38189,14200,Sao Simao,SP
551,RJ- 4148,24435,Sao Goncalo,RJ
552,RJ- 4587,28630,Nova Friburgo,RJ
553,MG- 189,37550,Pouso Alegre,MG
554,MA- 33,65930,Acailandia,MA
555,SP- 37574,8080,Sao Paulo,SP
556,SP- 37634,4176,Sao Paulo,SP
557,SP- 38869,13808,Mogi Mirim,SP
558,SP- 21624,4564,Sao Paulo,SP
559,DF- 556,72015,Brasilia,DF
560,SP- 37242,11330,Sao Vicente,SP
561,PE- 873,50721,Recife,PE
562,SP- 29398,13468,Americana,SP
563,SP- 38279,3578,Sao Paulo,SP
564,MG- 10794,30690,Belo Horizonte,MG
565,SP- 22778,3407,Sao Paulo,SP
566,RJ- 9233,20775,Rio De Janeiro,RJ
567,SP- 5400,13573,Sao Carlos,SP
568,PR- 955,83880,Rio Negro,PR
569,RJ- 6640,20521,Rio De Janeiro,RJ
570,SC- 1769,88058,Florianopolis,SC
571,GO- 453,75800,Jatai,GO
572,BA- 2245,42708,Lauro De Freitas,BA
573,MA- 313,65500,Chapadinha,MA
574,RJ- 6879,24421,Sao Goncalo,RJ
575,MG- 7693,30672,Belo Horizonte,MG
576,RJ- 3614,20241,Rio De Janeiro,RJ
577,MG- 8588,35585,Pimenta,MG
578,RJ- 12103,22723,Rio De Janeiro,RJ
579,RJ- 6376,22260,Rio De Janeiro,RJ
580,SP- 40797,6411,Barueri,SP
581,AM- 38,69042,Manaus,AM
582,SP- 30283,9450,Rio Grande Da Serra,SP
583,SP- 23234,4844,Sao Paulo,SP
584,PE- 1269,50020,Recife,PE
585,PR- 941,83085,Sao Jose Dos Pinhais,PR
586,SP- 29238,14802,Araraquara,SP
587,SP- 13698,16130,Santo Antonio Do Aracangua,SP
588,CE- 231,63430,Ico,CE
589,BA- 2444,48800,Monte Santo,BA
590,SP- 29283,1523,Sao Paulo,SP
591,RS- 2112,95088,Caxias Do Sul,RS
592,MG- 112,30140,Belo Horizonte,MG
593,PE- 553,52070,Recife,PE
594,DF- 382,71015,Brasilia,DF
595,SP- 38417,4911,Sao Paulo,SP
596,CE- 334,63250,Milagres,CE
597,SP- 20354,13060,Campinas,SP
598,RJ- 250,28030,Campos Dos Goytacazes,RJ
599,RJ- 483,24110,Niteroi,RJ
600,MA- 119,65609,Caxias,MA
601,SP- 41508,9751,Sao Bernardo Do Campo,SP
602,SP- 13157,14802,Araraquara,SP
603,SP- 26173,2436,Sao Paulo,SP
604,RJ- 4417,22790,Rio De Janeiro,RJ
605,SP- 40779,18078,Sorocaba,SP
606,RJ- 9527,24934,Marica,RJ
607,RJ- 5277,25070,Duque De Caxias,RJ
608,SP- 17376,11040,Santos,SP
609,SP- 21900,9850,Sao Bernardo Do Campo,SP
610,SP- 23542,4118,Sao Paulo,SP
611,SC- 2324,88385,Penha,SC
612,SP- 23948,4709,Sao Paulo,SP
613,SP- 29209,4783,Sao Paulo,SP
614,SP- 5577,3951,Sao Paulo,SP
615,RJ- 5204,20050,Rio De Janeiro,RJ
616,RJ- 3427,28035,Campos Dos Goytacazes,RJ
617,SC- 2326,88020,Florianopolis,SC
618,RS- 2840,96170,Sao Lourenco Do Sul,RS
619,RS- 4593,97753,Capao Do Cipo,RS
620,MG- 5507,36013,Juiz De Fora,MG
621,MT- 862,78890,Sorriso,MT
622,SP- 19708,18611,Botucatu,SP
623,SP- 5366,2936,Sao Paulo,SP
624,MT- 292,78600,Barra Do Garcas,MT
625,SP- 16595,9861,Sao Bernardo Do Campo,SP
626,DF- 1733,72460,Brasilia,DF
627,SP- 37256,18510,Maristela,SP
628,SP- 7605,3057,Sao Paulo,SP
629,RJ- 5100,21750,Rio De Janeiro,RJ
630,RJ- 6862,22780,Rio De Janeiro,RJ
631,SP- 18949,13940,Aguas De Lindoia,SP
632,MG- 74,35701,Sete Lagoas,MG
633,SP- 7939,13333,Indaiatuba,SP
634,MG- 2226,30441,Belo Horizonte,MG
635,RS- 961,94818,Alvorada,RS
636,ES- 1140,29175,Serra,ES
637,SP- 17394,14403,Franca,SP
638,BA- 2742,41705,Salvador,BA
639,SC- 3164,89112,Gaspar,SC
640,SP- 35484,9896,Sao Bernardo Do Campo,SP
641,SP- 14689,1240,Sao Paulo,SP
642,SP- 28225,14806,Araraquara,SP
643,ES- 1670,29090,Vitoria,ES
644,MG- 1296,35440,Dom Silverio,MG
645,RS- 4580,99560,Sarandi,RS
646,RJ- 3489,24130,Niteroi,RJ
647,SP- 14165,14820,Americo Brasiliense,SP
648,SP- 19388,18025,Sorocaba,SP
649,MT- 907,78030,Cuiaba,MT
650,RS- 102,97513,Uruguaiana,RS
651,SP- 10785,11520,Cubatao,SP
652,SP- 8410,13905,Amparo,SP
653,SP- 11587,2475,Sao Paulo,SP
654,RJ- 9354,25975,Teresopolis,RJ
655,SP- 1104,14808,Araraquara,SP
656,SP- 35399,4821,Sao Paulo,SP
