products_id,product_category_name,total_price,total_freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_width_cm,product_height_cm
42,furniture_decor,27.90,10.96,60,382,1,500,25,17,2
43,construction_tools_safety,34.89,44.34,50,984,2,246,22,19,15
44,health_beauty,68.50,18.36,45,569,1,150,16,15,7
45,fashion_bags_accessories,79.00,14.31,59,412,1,200,16,11,2
46,sports_leisure,99.90,21.19,33,223,2,950,60,15,15
47,auto,59.90,20.84,59,703,6,4550,47,23,19
48,diapers_and_hygiene,37.00,13.71,49,326,1,250,20,20,20
49,toys,23.90,10.96,37,670,2,600,17,22,15
50,sports_leisure,49.90,18.23,50,329,2,150,16,16,18
51,housewares,79.99,12.26,48,808,1,2800,30,30,30
52,construction_tools_safety,521.90,26.52,56,841,1,1340,32,27,14
53,Unkwon_Category,39.90,15.10,0,0,0,500,24,15,4
54,bed_bath_table,179.80,18.51,58,593,1,1800,40,30,8
55,bed_bath_table,207.00,24.32,44,216,1,2200,37,32,10
56,health_beauty,100.00,12.61,59,1631,4,2550,38,25,42
57,health_beauty,69.49,19.46,48,516,1,690,17,13,17
58,watches_gifts,270.90,52.62,57,676,2,633,19,17,12
59,sports_leisure,134.99,43.23,59,1735,5,1550,40,20,20
60,bed_bath_table,159.90,18.33,59,253,1,3875,46,43,12
61,computers_accessories,39.90,12.79,55,197,1,1133,16,11,16
62,housewares,149.33,20.02,39,169,4,450,16,11,24
63,housewares,29.90,19.84,56,279,2,2800,50,15,35
64,health_beauty,44.90,34.15,48,1411,1,350,16,16,16
65,furniture_decor,18.75,19.04,55,373,1,800,40,11,5
66,toys,59.90,7.78,58,916,3,700,20,20,35
67,perfumery,132.40,14.05,39,991,3,150,20,20,20
68,auto,949.90,102.46,45,916,1,23250,50,20,20
69,computers_accessories,49.99,15.10,57,338,3,400,23,15,7
70,computers_accessories,14.99,14.10,38,581,1,150,16,13,23
71,telephony,24.99,12.84,58,734,3,250,17,12,4
72,furniture_decor,8.73,19.05,26,345,1,700,16,16,16
73,Unkwon_Category,89.99,36.86,0,0,0,2100,50,30,30
74,sports_leisure,89.90,15.39,38,440,1,600,22,16,33
75,auto,129.01,19.00,59,351,2,250,16,16,16
76,housewares,94.00,23.46,53,786,4,1125,28,23,15
77,telephony,66.00,15.21,57,319,2,250,16,11,5
78,housewares,47.99,15.11,52,418,1,7850,28,28,62
79,perfumery,47.90,11.85,27,406,4,200,18,12,7
80,auto,268.88,50.41,36,1241,3,12100,60,20,60
81,christmas_supplies,16.56,15.10,34,249,1,200,16,11,11
82,bed_bath_table,48.90,17.19,52,396,1,900,45,35,15
83,cool_stuff,146.65,18.91,56,1027,1,187,17,14,13
84,perfumery,99.99,9.71,58,596,4,512,30,18,12
85,stationery,84.90,18.47,56,183,2,650,35,28,15
86,toys,33.90,15.65,41,569,1,350,17,17,15
87,fixed_telephony,10.90,14.52,63,326,4,150,16,13,4
88,watches_gifts,749.99,19.00,47,596,1,300,19,15,10
89,books_general_interest,21.00,18.23,30,253,1,350,24,17,5
90,home_construction,355.79,44.86,60,935,1,9050,56,28,26
91,bed_bath_table,113.90,34.28,41,312,1,18550,54,45,35
92,consoles_games,19.90,10.96,49,998,2,200,16,11,16
93,housewares,31.90,7.71,52,857,1,225,16,14,4
94,Unkwon_Category,29.90,15.10,0,0,0,400,24,15,4
95,furniture_decor,13.90,11.85,53,646,1,300,16,20,30
96,furniture_decor,169.90,26.03,54,197,8,3400,42,26,16
97,computers_accessories,83.99,38.14,42,1202,6,1550,42,17,17
98,telephony,26.99,7.78,59,600,1,200,19,11,4
99,auto,118.80,15.14,59,642,5,1650,60,33,8
100,telephony,97.90,16.13,47,816,2,300,16,12,5
101,watches_gifts,999.99,15.19,51,314,3,500,20,17,15
102,telephony,21.99,7.78,58,477,3,400,17,12,4
103,furniture_decor,109.90,13.11,42,914,1,800,21,34,34
104,sports_leisure,99.00,12.60,45,561,2,7050,20,20,105
105,furniture_decor,24.90,11.85,55,314,1,500,40,40,15
106,furniture_decor,9.90,37.04,52,139,1,550,40,30,5
107,computers_accessories,130.00,38.46,25,978,3,1400,25,25,15
108,health_beauty,208.69,16.56,50,827,3,700,41,11,9
109,sports_leisure,55.90,42.42,51,294,2,300,20,15,3
110,sports_leisure,289.90,22.52,49,753,4,2217,49,47,35
111,computers_accessories,15.90,24.84,57,674,3,133,17,12,6
112,housewares,99.99,58.78,54,691,3,7850,25,37,52
113,furniture_decor,99.99,11.90,34,655,1,750,50,50,10
114,electronics,16.90,14.10,32,302,1,100,19,17,15
115,fashion_bags_accessories,295.00,20.17,49,293,1,100,21,14,9
116,telephony,1502.93,17.78,46,1654,4,299,14,13,11
117,sports_leisure,15.49,18.23,12,3231,3,100,20,18,18
118,housewares,179.98,12.46,56,1877,1,16000,16,11,2
119,toys,759.90,32.27,53,2209,7,1600,35,35,17
120,Unkwon_Category,27.30,34.15,0,0,0,200,16,11,2
121,pc_gamer,129.99,8.16,59,621,4,2839,19,18,16
122,toys,79.90,12.06,40,302,1,268,32,30,15
123,furniture_decor,44.90,11.73,60,926,4,1390,18,25,11
124,computers_accessories,177.90,30.18,55,441,1,1100,40,20,20
125,telephony,9.99,18.15,41,285,1,200,19,11,5
126,furniture_decor,59.90,19.66,59,438,1,1400,30,20,5
127,toys,87.90,9.36,60,678,1,192,20,12,16
128,stationery,149.00,16.74,39,221,2,200,24,14,7
129,computers_accessories,24.90,8.33,20,153,3,500,16,15,15
130,furniture_decor,119.99,34.20,63,213,1,3900,63,43,11
131,auto,59.90,26.74,56,660,5,2900,72,44,4
132,toys,35.00,43.38,27,427,1,500,23,25,8
133,cool_stuff,65.00,18.02,53,442,4,800,33,30,15
134,baby,48.99,24.69,52,559,1,1875,29,26,22
135,sports_leisure,99.90,12.65,55,1381,4,1050,40,20,20
136,toys,35.09,15.10,39,326,4,600,42,42,7
137,sports_leisure,99.90,39.98,55,468,1,4100,17,12,105
138,toys,749.90,22.50,56,1784,6,1575,19,20,51
139,computers_accessories,31.58,15.93,42,710,1,600,36,13,9
140,sports_leisure,69.90,25.77,59,1301,6,450,25,28,15
141,housewares,22.90,18.26,58,897,2,450,20,20,10
142,perfumery,54.90,11.86,58,468,4,1300,25,16,20
143,housewares,24.30,10.96,40,119,1,250,16,16,22
144,watches_gifts,49.00,13.00,53,555,1,200,20,15,7
145,consoles_games,7.78,7.71,55,134,1,100,20,15,3
146,health_beauty,299.08,10.25,58,1690,4,490,30,25,5
147,housewares,84.90,17.84,59,1687,3,1038,40,13,36
148,perfumery,49.90,22.28,52,733,1,350,17,17,16
149,home_appliances,40.50,8.82,58,290,1,1150,55,46,19
150,pet_shop,158.99,37.44,44,348,1,14475,70,48,28
151,watches_gifts,29.00,3.77,60,567,6,250,16,20,2
152,furniture_decor,169.90,9.30,49,930,2,1000,44,44,4
153,kitchen_dining_laundry_garden_furniture,265.99,96.82,32,1243,2,10100,65,64,63
154,sports_leisure,52.70,27.32,37,220,2,1075,38,25,10
155,sports_leisure,119.49,57.61,55,2871,1,1050,30,25,25
156,computers_accessories,299.90,16.95,47,619,1,1088,33,15,20
157,bed_bath_table,69.99,14.80,40,519,2,1350,45,55,10
158,housewares,13.50,7.39,37,149,1,150,35,16,16
159,furniture_living_room,139.00,85.75,54,529,2,17800,70,24,15
160,watches_gifts,199.00,16.14,57,486,6,240,16,12,11
161,cool_stuff,33.90,3.63,34,177,1,450,40,30,4
162,fashion_shoes,74.90,17.26,57,404,4,1400,22,33,12
163,baby,36.90,7.78,37,497,4,150,16,11,7
164,watches_gifts,199.90,3.43,50,556,1,400,18,12,12
165,Unkwon_Category,699.99,38.17,0,0,0,7000,55,45,30
166,sports_leisure,89.99,7.49,60,2157,3,400,30,30,30
167,food,169.90,8.44,57,606,3,150,22,17,4
168,bed_bath_table,13.90,14.52,40,116,1,250,40,30,4
169,pet_shop,49.90,14.52,60,661,4,450,38,38,4
170,housewares,25.50,7.44,30,583,1,200,25,11,10
171,fixed_telephony,12.97,10.96,47,330,1,125,17,13,6
172,cool_stuff,219.99,15.29,51,594,1,2000,50,30,40
173,housewares,29.90,11.85,33,912,4,300,17,11,28
174,bed_bath_table,62.70,15.65,52,183,2,550,70,40,10
175,bed_bath_table,74.90,52.87,53,124,3,700,22,16,13
176,health_beauty,305.00,17.89,52,2668,1,750,28,18,4
177,fashion_male_clothing,24.90,10.96,42,574,2,400,16,11,2
178,electronics,18.32,18.23,29,510,1,125,21,17,17
179,luggage_accessories,208.90,46.93,48,389,3,14000,26,46,66
180,health_beauty,79.56,7.82,52,1363,1,400,16,11,19
181,bed_bath_table,21.99,15.10,52,662,1,600,32,30,5
182,health_beauty,99.00,27.42,14,1366,2,1150,27,39,22
183,furniture_decor,46.90,11.74,30,195,1,700,33,24,4
184,luggage_accessories,69.90,14.66,38,789,3,600,50,40,5
185,auto,39.90,21.08,50,340,1,950,22,19,19
186,sports_leisure,136.50,19.09,38,1662,1,1071,17,15,21
187,sports_leisure,69.00,13.96,53,236,2,300,30,20,5
188,auto,54.90,16.01,56,871,2,3500,25,25,5
189,sports_leisure,20.49,17.63,41,546,1,100,19,11,4
190,Unkwon_Category,27.95,20.84,0,0,0,2200,28,14,20
191,home_appliances,152.25,8.81,52,394,1,250,27,17,13
192,home_appliances,120.90,38.99,59,161,1,200,27,17,12
193,perfumery,13.99,7.39,54,933,1,50,16,11,5
194,cool_stuff,199.00,21.71,49,330,1,1600,33,19,44
195,watches_gifts,1654.44,18.23,53,553,2,700,19,15,9
196,auto,118.80,20.02,59,570,5,1150,55,35,12
197,cool_stuff,199.00,20.63,55,330,1,2300,33,19,44
198,baby,139.90,16.05,54,975,2,2400,35,30,10
199,garden_tools,48.00,13.71,54,1231,6,800,17,12,10
200,bed_bath_table,49.90,13.37,60,146,2,1200,34,41,6
201,bed_bath_table,110.00,15.52,64,319,1,1600,40,35,15
202,auto,59.90,17.67,59,651,5,10600,78,47,4
203,auto,16.49,7.39,42,756,5,550,17,12,5
204,bed_bath_table,40.00,16.47,44,701,2,1000,50,12,12
205,agro_industry_and_commerce,88.00,11.95,45,266,1,2467,28,24,26
206,housewares,49.90,15.45,37,465,2,300,19,12,12
207,books_imported,64.99,19.37,56,440,1,250,33,23,2
208,fashion_shoes,84.90,19.83,54,404,4,850,22,33,12
209,baby,119.90,22.77,59,381,6,500,39,27,6
210,consoles_games,69.90,27.03,25,1564,1,550,20,20,30
211,furniture_decor,269.90,60.90,63,157,3,12600,74,74,8
212,bed_bath_table,74.90,18.62,51,425,1,1400,28,25,9
213,bed_bath_table,286.00,14.44,50,138,1,4517,57,35,17
214,housewares,119.90,17.09,60,276,1,1287,32,35,25
215,perfumery,58.00,13.53,44,280,1,430,19,12,14
216,bed_bath_table,109.90,27.50,54,235,1,1350,34,32,7
217,health_beauty,129.90,12.61,46,2771,5,1500,16,11,35
218,furniture_decor,7.12,17.60,46,381,2,300,27,16,13
219,auto,359.98,85.59,44,907,1,11800,61,19,61
220,sports_leisure,99.00,27.23,43,742,3,700,28,25,25
221,housewares,89.90,14.21,55,244,1,400,16,15,16
222,toys,35.00,17.63,33,168,1,900,23,11,25
223,furniture_decor,239.00,81.05,40,275,5,14700,100,16,55
224,computers_accessories,23.70,22.06,60,399,3,475,19,15,5
225,sports_leisure,199.90,17.84,51,1132,8,6600,105,25,15
226,health_beauty,8.03,5.46,57,460,1,900,20,11,4
227,stationery,78.00,7.41,54,447,1,400,25,17,10
228,housewares,34.90,9.34,50,215,3,650,18,17,20
229,housewares,54.90,13.44,26,1175,3,350,60,15,10
230,sports_leisure,19.90,15.24,37,161,3,200,20,20,15
231,bed_bath_table,139.99,21.47,60,665,1,2400,42,36,11
232,housewares,28.78,11.74,40,196,2,1000,38,38,39
233,sports_leisure,119.90,20.18,58,1236,1,4350,20,20,20
234,housewares,159.90,19.42,28,331,1,8150,40,40,11
235,computers_accessories,175.40,3.52,55,260,1,600,23,16,16
236,baby,199.75,35.48,59,869,3,9750,38,35,38
237,toys,94.90,18.54,55,242,2,50,25,15,11
238,health_beauty,680.00,184.98,52,416,1,30000,55,61,75
239,garden_tools,389.00,26.85,47,2179,3,3750,27,22,19
240,toys,110.90,18.35,39,601,2,750,30,30,17
241,luggage_accessories,54.90,13.40,45,223,1,800,46,32,10
242,construction_tools_lights,99.00,64.06,39,990,2,7100,43,43,23
243,computers_accessories,24.89,19.04,60,53,1,150,17,12,9
244,auto,114.90,33.25,44,1085,1,7050,102,41,4
245,electronics,172.01,17.64,43,3023,6,100,16,16,16
246,furniture_decor,17.75,35.09,53,371,1,800,40,11,5
247,toys,229.90,27.87,42,241,1,1200,30,20,16
248,perfumery,179.00,38.16,60,1078,1,400,23,15,8
249,cool_stuff,133.20,27.25,51,751,5,4900,78,62,2
250,construction_tools_lights,199.90,18.70,54,538,2,9700,20,101,16
251,bed_bath_table,56.00,13.97,52,228,1,355,34,40,21
252,telephony,298.00,27.37,49,1019,3,350,16,11,3
253,home_construction,319.90,36.03,48,627,1,300,16,16,11
254,bed_bath_table,113.00,23.37,59,330,1,1575,41,31,6
255,sports_leisure,24.41,12.60,60,328,1,200,26,13,5
256,housewares,85.90,15.90,56,649,1,5000,35,32,28
257,auto,44.50,8.72,39,179,1,300,16,11,2
258,garden_tools,28.96,8.72,34,288,1,600,16,18,31
259,bed_bath_table,39.99,13.71,55,638,1,900,16,16,10
260,electronics,69.40,19.68,46,730,1,550,30,30,20
261,bed_bath_table,56.99,11.52,59,641,2,1250,16,16,10
262,telephony,34.99,15.10,57,422,2,150,19,11,4
263,auto,79.90,14.65,60,753,2,650,60,33,6
264,sports_leisure,45.05,7.58,28,406,1,248,32,23,21
265,fashion_shoes,71.82,17.75,57,404,4,750,22,33,12
266,sports_leisure,84.90,18.16,49,1818,1,800,16,16,16
267,consoles_games,12.99,7.39,52,459,1,100,26,14,3
268,perfumery,53.90,9.74,51,315,1,350,18,18,13
269,stationery,36.00,15.10,46,129,1,100,16,16,5
270,computers_accessories,269.00,28.14,52,278,1,200,18,16,8
271,computers_accessories,45.99,21.15,52,123,2,150,31,11,8
272,auto,292.00,19.92,38,1113,3,450,16,11,5
273,watches_gifts,349.90,19.52,60,738,1,375,18,12,12
274,auto,46.90,19.52,35,1512,3,800,26,24,9
275,drinks,142.00,27.94,33,2245,1,1800,35,20,20
276,pet_shop,104.00,9.29,29,2918,1,1750,40,30,16
277,bed_bath_table,169.00,15.93,53,284,1,2100,45,35,15
278,pet_shop,103.00,14.30,59,803,1,550,20,20,40
279,housewares,636.00,54.32,44,663,4,10350,102,40,15
280,garden_tools,60.50,22.24,58,220,1,16150,62,50,12
281,costruction_tools_tools,34.90,11.15,56,286,1,825,21,16,16
282,perfumery,229.00,16.35,47,1220,1,600,20,14,8
283,telephony,21.99,7.39,57,447,4,217,17,12,4
284,auto,99.90,23.50,58,641,5,1625,60,33,8
285,sports_leisure,439.90,14.58,57,1705,1,3900,32,33,35
286,construction_tools_construction,419.00,43.91,59,520,8,10750,54,35,18
287,toys,57.99,18.51,27,791,1,450,29,11,16
288,cool_stuff,39.00,14.59,45,1057,3,100,20,16,16
289,furniture_decor,149.90,20.96,41,411,2,18050,51,51,8
290,cool_stuff,250.00,32.40,43,775,6,4000,43,18,35
291,bed_bath_table,259.90,13.14,66,503,1,14300,45,35,15
292,telephony,19.89,21.15,40,361,4,150,18,12,3
293,sports_leisure,85.00,14.34,53,710,1,450,20,14,9
294,home_appliances_2,533.00,47.31,31,107,1,8400,46,28,44
295,health_beauty,131.25,29.32,41,1572,1,2000,30,16,12
296,watches_gifts,29.00,27.41,55,569,5,250,16,11,2
297,watches_gifts,239.00,12.28,49,589,2,500,16,13,13
298,furniture_decor,116.94,63.97,45,1064,1,7183,56,18,56
299,stationery,57.00,15.28,55,971,4,600,25,28,12
300,health_beauty,153.90,19.99,56,737,1,361,16,15,17
301,fashion_bags_accessories,29.99,8.72,58,373,1,300,20,20,10
302,auto,18.70,8.72,39,328,1,500,21,12,9
303,housewares,68.00,22.41,55,410,1,3650,37,30,25
304,auto,17.50,15.10,60,354,2,150,16,16,7
305,bed_bath_table,118.58,19.54,56,124,2,1100,95,50,8
306,housewares,54.00,26.33,27,828,1,1600,25,20,10
307,baby,13.90,7.78,52,708,1,300,18,24,8
308,stationery,139.90,16.05,60,543,1,1400,25,20,20
309,housewares,27.90,11.85,20,630,1,350,17,11,28
310,sports_leisure,32.49,9.94,56,3161,1,378,21,14,14
311,stationery,45.00,11.85,52,96,2,500,20,20,30
312,electronics,79.99,18.44,48,219,3,550,16,20,5
313,agro_industry_and_commerce,179.90,31.34,58,1075,1,10317,52,43,33
314,small_appliances,759.05,31.63,49,1353,2,4550,23,25,54
315,health_beauty,48.00,22.27,39,588,1,400,18,17,18
316,industry_commerce_and_business,699.99,142.97,57,148,1,30000,80,50,50
317,construction_tools_safety,142.90,8.66,54,335,3,300,20,20,20
318,telephony,67.90,14.24,60,357,4,300,16,11,6
319,perfumery,99.90,9.44,42,544,1,341,20,16,18
320,fashion_shoes,84.90,17.84,57,404,4,1400,22,33,12
321,fashion_bags_accessories,12.00,12.79,48,142,1,150,20,20,10
322,computers_accessories,65.78,12.59,43,374,1,945,23,24,14
323,garden_tools,114.90,44.72,52,289,1,3900,45,38,6
324,dvds_blu_ray,19.90,15.79,56,1139,1,200,20,14,2
325,books_technical,65.90,27.31,44,540,1,1000,16,11,2
326,toys,49.99,21.15,40,226,6,500,20,20,20
327,furniture_decor,359.70,17.27,39,677,1,13150,35,35,45
328,telephony,49.99,13.43,60,2051,1,150,16,11,10
329,housewares,15.99,16.11,21,316,1,1200,29,27,21
330,auto,49.90,18.59,51,244,1,1000,20,20,20
331,Unkwon_Category,25.90,7.78,0,0,0,400,38,15,22
332,housewares,24.75,8.72,53,908,3,435,16,11,35
333,pet_shop,6.50,7.65,58,922,2,400,35,25,15
334,office_furniture,189.94,25.84,52,1145,1,10013,58,23,56
335,furniture_bedroom,650.00,98.34,43,1527,4,13450,76,56,14
336,toys,39.90,8.88,51,392,2,500,21,15,10
337,sports_leisure,100.00,17.63,32,963,1,300,20,15,15
338,sports_leisure,39.90,7.39,30,489,1,800,21,21,25
339,auto,166.00,20.13,51,732,1,850,41,11,45
340,auto,59.90,18.31,56,651,5,4200,78,47,4
341,furniture_decor,12.90,16.79,50,401,1,450,32,22,2
342,sports_leisure,28.99,14.11,60,1738,1,300,16,15,15
343,cool_stuff,199.00,18.64,52,134,6,1700,65,25,25
344,health_beauty,69.90,15.24,46,378,1,400,21,18,16
345,sports_leisure,69.90,15.70,39,720,4,300,22,18,14
346,sports_leisure,44.90,7.78,31,798,2,200,16,20,6
347,home_construction,119.85,19.81,52,928,7,1000,16,16,20
348,furniture_decor,171.39,19.35,38,1303,2,1250,52,11,7
349,baby,250.00,26.10,60,858,3,700,50,40,5
350,computers_accessories,189.00,27.62,39,201,3,1649,23,21,12
351,electronics,174.00,20.19,56,1672,2,733,29,16,7
352,computers_accessories,89.00,17.55,46,279,5,200,21,14,7
353,computers_accessories,59.90,14.51,49,395,1,133,16,11,9
354,baby,37.88,8.88,58,544,3,2650,16,24,24
355,pet_shop,44.24,35.48,59,265,1,7300,20,60,40
356,furniture_living_room,54.90,18.00,53,1146,4,3100,30,30,11
357,auto,22.00,15.11,44,871,1,750,16,11,15
358,office_furniture,110.00,48.45,56,300,1,15900,40,40,90
359,office_furniture,169.99,53.94,40,1187,1,12275,40,38,54
360,electronics,79.00,15.30,55,981,1,150,18,24,5
361,health_beauty,64.99,15.56,46,862,1,400,19,13,12
362,home_appliances,40.70,18.39,54,174,1,100,18,13,8
363,construction_tools_safety,299.98,52.60,56,1857,3,150,17,17,7
364,housewares,39.90,8.88,52,373,2,700,16,12,10
365,furniture_decor,148.00,18.29,54,1959,2,3000,69,11,11
366,telephony,34.99,7.78,40,361,2,100,19,11,3
367,bed_bath_table,40.35,19.47,30,413,2,725,31,31,7
368,perfumery,229.00,16.19,55,784,1,555,24,15,8
369,costruction_tools_garden,24.99,13.76,60,1500,1,2350,22,22,22
370,toys,18.80,15.10,31,225,2,175,16,16,15
371,baby,299.99,58.65,36,474,1,12050,35,25,60
372,stationery,120.00,15.60,60,574,5,500,21,15,7
373,furniture_decor,42.90,9.34,29,206,4,500,19,12,12
374,watches_gifts,124.96,25.00,43,597,1,250,18,17,9
375,luggage_accessories,109.90,19.31,49,824,1,850,19,34,51
376,bed_bath_table,89.90,17.88,53,230,1,1017,39,34,15
377,bed_bath_table,41.14,22.93,55,139,3,950,36,27,6
378,housewares,24.00,18.27,26,190,2,200,30,25,11
379,fashion_bags_accessories,49.90,22.28,32,272,4,150,16,11,6
380,housewares,44.90,16.50,54,153,1,600,16,16,16
381,bed_bath_table,60.00,13.78,55,844,1,800,25,25,5
382,auto,99.00,42.72,56,838,2,600,35,35,5
383,housewares,107.85,19.99,60,1172,5,625,30,25,12
384,electronics,59.00,7.39,60,930,3,250,17,12,5
385,electronics,77.00,15.29,48,1337,2,167,16,11,3
386,housewares,79.80,11.76,52,570,1,1700,16,38,40
387,home_construction,75.90,19.50,54,923,2,800,16,16,27
388,furniture_decor,139.00,64.77,55,1617,3,4450,105,69,5
389,furniture_decor,49.99,44.88,28,725,1,6317,36,36,40
390,office_furniture,159.99,55.39,57,1203,1,7300,53,18,51
391,auto,50.00,8.72,56,1144,1,600,30,20,20
392,sports_leisure,44.90,12.92,34,317,3,400,16,15,9
393,luggage_accessories,34.90,17.17,43,533,2,175,16,16,10
394,Unkwon_Category,23.50,15.79,0,0,0,200,16,11,19
395,bed_bath_table,59.90,9.17,46,623,1,600,30,26,7
396,luggage_accessories,195.00,19.27,58,1038,5,9075,29,45,39
397,furniture_decor,23.90,12.69,63,259,1,900,40,40,3
398,sports_leisure,44.90,15.10,55,1392,1,550,16,16,16
399,dvds_blu_ray,19.90,25.63,52,364,1,90,20,14,2
400,telephony,314.90,20.08,52,2118,2,400,20,13,11
401,office_furniture,229.99,54.21,46,1172,1,250,78,21,45
402,garden_tools,34.99,15.10,59,2407,1,400,38,25,10
403,health_beauty,54.49,14.13,52,1168,1,250,35,12,3
404,perfumery,51.90,22.29,32,447,4,350,20,20,20
405,health_beauty,39.99,18.23,41,216,1,150,20,15,15
406,furniture_decor,99.00,26.43,56,1472,3,1900,53,11,8
407,perfumery,51.40,14.59,51,607,1,783,17,14,15
408,housewares,147.00,31.78,56,184,1,5400,36,29,15
409,health_beauty,129.90,16.22,38,665,1,153,23,22,24
410,office_furniture,196.99,59.93,47,1158,1,16800,63,24,58
411,pet_shop,73.02,27.49,53,830,15,3500,39,46,20
412,telephony,37.99,18.23,58,751,5,300,17,12,4
413,baby,149.00,15.92,59,415,1,1150,35,44,17
414,health_beauty,209.89,18.72,46,799,1,2000,30,16,12
415,perfumery,39.90,20.21,56,205,1,900,25,30,35
416,Unkwon_Category,49.98,16.60,0,0,0,1800,20,25,12
417,furniture_bedroom,6.90,8.72,61,1961,1,200,16,11,2
418,telephony,21.99,7.78,57,598,1,150,19,11,4
419,books_general_interest,26.00,18.23,23,154,1,150,26,26,2
420,Unkwon_Category,34.99,24.84,0,0,0,400,25,11,8
421,office_furniture,119.99,20.14,62,1139,1,8900,53,16,50
422,health_beauty,90.00,61.37,29,2706,1,15500,55,40,40
423,toys,72.90,47.37,36,113,1,9567,41,47,51
424,sports_leisure,149.90,38.60,46,1018,6,4700,85,20,30
425,housewares,139.00,88.48,58,398,3,6900,70,33,15
426,garden_tools,169.90,24.06,53,1254,2,2700,43,15,15
427,housewares,59.90,7.78,28,913,3,500,18,20,21
428,fashion_bags_accessories,34.90,12.48,50,427,3,2100,16,11,5
429,housewares,87.50,18.00,59,675,1,20300,44,30,93
430,auto,34.75,18.23,45,1161,1,200,16,11,4
431,home_appliances,25.00,7.92,45,78,1,100,20,15,13
432,sports_leisure,1599.00,125.04,49,862,1,30000,105,20,70
433,auto,59.90,17.67,59,679,5,5400,78,47,4
434,watches_gifts,199.99,8.26,57,557,1,300,19,13,13
435,auto,89.90,17.54,59,523,1,2550,35,20,20
436,cool_stuff,159.99,14.89,56,404,4,2100,44,42,16
437,furniture_decor,59.00,12.75,63,1700,1,700,60,20,11
438,housewares,45.00,16.60,26,169,1,700,30,30,30
439,housewares,27.90,12.69,57,1299,1,600,16,13,25
440,bed_bath_table,79.90,11.95,49,591,1,1500,38,30,11
441,garden_tools,669.00,32.04,47,1489,1,6800,77,34,14
442,sports_leisure,425.00,17.72,44,3364,1,50,16,11,16
443,perfumery,39.90,16.79,43,656,3,100,18,11,7
444,cool_stuff,44.99,7.78,56,645,2,1650,30,30,4
445,baby,239.00,42.43,49,728,4,7150,50,45,19
446,sports_leisure,50.40,37.55,24,1636,1,7450,19,20,22
447,bed_bath_table,129.90,16.54,54,289,1,2000,34,33,9
448,computers_accessories,120.10,16.60,53,148,1,910,32,15,14
449,air_conditioning,101.90,16.34,57,364,1,2000,22,37,38
450,health_beauty,91.55,7.90,57,1649,1,300,22,15,5
451,garden_tools,779.00,33.85,56,1193,1,1500,20,22,22
